Date,Value,seven_day_ average,parts_per_million
Dec 4 2020,2563,1951,8
Dec 3 2020,2706,1781,8
Dec 2 2020,2733,1585,8
Dec 1 2020,2473,1522,8
Nov 30 2020,1136,1464,3
Nov 29 2020,803,1438,2
Nov 28 2020,1245,1452,4
Nov 27 2020,1372,1490,4
Nov 26 2020,1336,1563,4
Nov 25 2020,2289,1653,7
Nov 24 2020,2066,1592,6
Nov 23 2020,955,1519,3
Nov 22 2020,898,1471,3
Nov 21 2020,1512,1441,5
Nov 20 2020,1884,1415,6
Nov 19 2020,1967,1327,6
Nov 18 2020,1864,1206,6
Nov 17 2020,1555,1163,5
Nov 16 2020,619,1135,2
Nov 15 2020,687,1129,2
Nov 14 2020,1331,1102,4
Nov 13 2020,1268,1072,4
Nov 12 2020,1119,1058,3
Nov 11 2020,1563,1062,5
Nov 10 2020,1360,998,4
Nov 9 2020,577,1020,2
Nov 8 2020,496,1008,2
Nov 7 2020,1119,994,3
Nov 6 2020,1173,971,4
Nov 5 2020,1146,939,3
Nov 4 2020,1117,923,3
Nov 3 2020,1514,913,5
Nov 2 2020,491,828,1
Nov 1 2020,395,815,1
Oct 31 2020,963,813,3
Oct 30 2020,947,803,3
Oct 29 2020,1037,801,3
Oct 28 2020,1044,814,3
Oct 27 2020,919,810,3
Oct 26 2020,402,799,1
Oct 25 2020,382,806,1
Oct 24 2020,890,809,3
Oct 23 2020,934,792,3
Oct 22 2020,1126,787,3
Oct 21 2020,1019,759,3
Oct 20 2020,837,729,3
Oct 19 2020,456,709,1
Oct 18 2020,402,684,1
Oct 17 2020,773,694,2
Oct 16 2020,897,680,3
Oct 15 2020,930,681,3
Oct 14 2020,807,688,2
Oct 13 2020,698,705,2
Oct 12 2020,282,693,1
Oct 11 2020,468,702,1
Oct 10 2020,681,687,2
Oct 9 2020,898,695,3
Oct 8 2020,985,688,3
Oct 7 2020,925,670,3
Oct 6 2020,610,690,2
Oct 5 2020,344,708,1
Oct 4 2020,365,694,1
Oct 3 2020,740,685,2
Oct 2 2020,847,704,3
Oct 1 2020,858,705,3
Sep 30 2020,1063,716,3
Sep 29 2020,737,729,2
Sep 28 2020,247,747,1
Sep 27 2020,306,752,1
Sep 26 2020,871,754,3
Sep 25 2020,850,737,3
Sep 24 2020,939,744,3
Sep 23 2020,1154,735,4
Sep 22 2020,864,739,3
Sep 21 2020,280,765,1
Sep 20 2020,323,783,1
Sep 19 2020,747,793,2
Sep 18 2020,900,803,3
Sep 17 2020,880,818,3
Sep 16 2020,1178,858,4
Sep 15 2020,1045,847,3
Sep 14 2020,408,748,1
Sep 13 2020,390,722,1
Sep 12 2020,818,731,2
Sep 11 2020,1008,745,3
Sep 10 2020,1161,744,4
Sep 9 2020,1102,731,3
Sep 8 2020,352,721,1
Sep 7 2020,226,816,1
Sep 6 2020,447,839,1
Sep 5 2020,921,842,3
Sep 4 2020,996,855,3
Sep 3 2020,1076,859,3
Sep 2 2020,1026,866,3
Sep 1 2020,1022,906,3
Aug 31 2020,382,923,1
Aug 30 2020,474,918,1
Aug 29 2020,1008,933,3
Aug 28 2020,1026,936,3
Aug 27 2020,1124,948,3
Aug 26 2020,1305,949,4
Aug 25 2020,1140,966,3
Aug 24 2020,352,974,1
Aug 23 2020,574,983,2
Aug 22 2020,1028,990,3
Aug 21 2020,1110,1017,3
Aug 20 2020,1134,1032,3
Aug 19 2020,1424,1037,4
Aug 18 2020,1195,1050,4
Aug 17 2020,419,1068,1
Aug 16 2020,618,1071,2
Aug 15 2020,1218,1070,4
Aug 14 2020,1219,1051,4
Aug 13 2020,1164,1067,4
Aug 12 2020,1518,1079,5
Aug 11 2020,1323,1057,4
Aug 10 2020,435,1045,1
Aug 9 2020,614,1059,2
Aug 8 2020,1084,1042,3
Aug 7 2020,1333,1057,4
Aug 6 2020,1248,1055,4
Aug 5 2020,1360,1055,4
Aug 4 2020,1239,1073,4
Aug 3 2020,536,1057,2
Aug 2 2020,494,1133,2
Aug 1 2020,1192,1142,4
Jul 31 2020,1313,1116,4
Jul 30 2020,1248,1098,4
Jul 29 2020,1491,1072,5
Jul 28 2020,1128,1021,3
Jul 27 2020,1065,1012,3
Jul 26 2020,560,913,2
Jul 25 2020,1005,908,3
Jul 24 2020,1192,889,4
Jul 23 2020,1061,853,3
Jul 22 2020,1134,837,3
Jul 21 2020,1069,798,3
Jul 20 2020,369,751,1
Jul 19 2020,527,746,2
Jul 18 2020,873,738,3
Jul 17 2020,936,721,3
Jul 16 2020,953,704,3
Jul 15 2020,860,697,3
Jul 14 2020,739,690,2
Jul 13 2020,331,714,1
Jul 12 2020,474,704,1
Jul 11 2020,752,666,2
Jul 10 2020,822,602,3
Jul 9 2020,900,570,3
Jul 8 2020,812,541,2
Jul 7 2020,905,524,3
Jul 6 2020,266,478,1
Jul 5 2020,207,491,1
Jul 4 2020,300,500,1
Jul 3 2020,602,529,2
Jul 2 2020,696,532,2
Jul 1 2020,689,527,2
Jun 30 2020,584,530,2
Jun 29 2020,358,550,1
Jun 28 2020,271,541,1
Jun 27 2020,502,544,2
Jun 26 2020,624,560,2
Jun 25 2020,663,564,2
Jun 24 2020,707,568,2
Jun 23 2020,725,581,2
Jun 22 2020,294,578,1
Jun 21 2020,293,594,1
Jun 20 2020,611,603,2
Jun 19 2020,656,614,2
Jun 18 2020,693,630,2
Jun 17 2020,794,659,2
Jun 16 2020,706,672,2
Jun 15 2020,406,700,1
Jun 14 2020,355,738,1
Jun 13 2020,690,751,2
Jun 12 2020,763,754,2
Jun 11 2020,899,766,3
Jun 10 2020,884,761,3
Jun 9 2020,901,775,3
Jun 8 2020,676,789,2
Jun 7 2020,446,788,1
Jun 6 2020,711,817,2
Jun 5 2020,844,847,3
Jun 4 2020,864,893,3
Jun 3 2020,980,947,3
Jun 2 2020,1000,995,3
Jun 1 2020,671,948,2
May 31 2020,651,932,2
May 30 2020,918,936,3
May 29 2020,1169,953,4
May 28 2020,1242,972,4
May 27 2020,1316,999,4
May 26 2020,672,1009,2
May 25 2020,554,1104,2
May 24 2020,684,1151,2
May 23 2020,1035,1175,3
May 22 2020,1303,1198,4
May 21 2020,1427,1192,4
May 20 2020,1390,1253,4
May 19 2020,1332,1302,4
May 18 2020,889,1327,3
May 17 2020,850,1328,3
May 16 2020,1195,1354,4
May 15 2020,1263,1391,4
May 14 2020,1852,1465,6
May 13 2020,1734,1594,5
May 12 2020,1506,1620,5
May 11 2020,894,1761,3
May 10 2020,1032,1780,3
May 9 2020,1456,1810,4
May 8 2020,1781,1821,5
May 7 2020,2752,1825,8
May 6 2020,1916,1739,6
May 5 2020,2494,1849,8
May 4 2020,1028,1789,3
May 3 2020,1243,1826,4
May 2 2020,1531,1823,5
May 1 2020,1808,1837,6
Apr 30 2020,2153,1860,7
Apr 29 2020,2685,1812,8
Apr 28 2020,2077,1726,6
Apr 27 2020,1287,1784,4
Apr 26 2020,1222,1859,4
Apr 25 2020,1627,1936,5
Apr 24 2020,1972,1974,6
Apr 23 2020,1814,1995,6
Apr 22 2020,2082,2050,6
Apr 21 2020,2481,2116,8
Apr 20 2020,1815,2098,6
Apr 19 2020,1763,2071,5
Apr 18 2020,1891,2062,6
Apr 17 2020,2118,2089,6
Apr 16 2020,2197,2082,7
Apr 15 2020,2546,2063,8
Apr 14 2020,2353,1985,7
Apr 13 2020,1630,1941,5
Apr 12 2020,1700,1895,5
Apr 11 2020,2079,1844,6
Apr 10 2020,2072,1758,6
Apr 9 2020,2062,1646,6
Apr 8 2020,1997,1520,6
Apr 7 2020,2044,1378,6
Apr 6 2020,1313,1215,4
Apr 5 2020,1339,1112,4
Apr 4 2020,1481,992,5
Apr 3 2020,1285,860,4
Apr 2 2020,1178,734,4
Apr 1 2020,1004,611,3
Mar 31 2020,907,502,3
Mar 30 2020,588,406,2
Mar 29 2020,504,337,2
Mar 28 2020,551,285,2
Mar 27 2020,408,216,1
Mar 26 2020,316,167,1
Mar 25 2020,238,129,1
Mar 24 2020,238,99,1
Mar 23 2020,101,69,0
Mar 22 2020,146,57,0
Mar 21 2020,62,39,0
Mar 20 2020,70,31,0
Mar 19 2020,48,22,0
Mar 18 2020,31,16,0
Mar 17 2020,24,12,0
Mar 16 2020,21,9,0
Mar 15 2020,15,7,0
Mar 14 2020,8,5,0
Mar 13 2020,5,4,0
Mar 12 2020,8,4,0
Mar 11 2020,6,4,0
Mar 10 2020,2,3,0
Mar 9 2020,4,3,0
Mar 8 2020,4,3,0
Mar 7 2020,1,3,0
Mar 6 2020,6,3,0
Mar 5 2020,4,3,0
Mar 4 2020,2,2,0
Mar 3 2020,3,2,0
Mar 2 2020,3,2,0
Mar 1 2020,3,1,0
Feb 29 2020,1,1,0
Feb 28 2020,2,1,0
Feb 27 2020,0,0,0
Feb 26 2020,2,0,0
Feb 25 2020,0,0,0
Feb 24 2020,0,0,0
Feb 23 2020,0,0,0
Feb 22 2020,0,0,0
Feb 21 2020,0,0,0
Feb 20 2020,0,0,0
Feb 19 2020,0,0,0
Feb 18 2020,0,0,0
Feb 17 2020,0,0,0
Feb 16 2020,0,0,0
Feb 15 2020,0,0,0
Feb 14 2020,0,0,0
Feb 13 2020,0,0,0
Feb 12 2020,0,0,0
Feb 11 2020,0,0,0
Feb 10 2020,0,0,0
Feb 9 2020,0,0,0
Feb 8 2020,0,0,0
Feb 7 2020,0,0,0
Feb 6 2020,0,0,0
Feb 5 2020,0,0,0
Feb 4 2020,0,0,0
Feb 3 2020,0,0,0
Feb 2 2020,0,0,0
Feb 1 2020,0,0,0
Jan 31 2020,0,0,0
Jan 30 2020,0,0,0
Jan 29 2020,0,0,0
Jan 28 2020,0,0,0
Jan 27 2020,0,,0
Jan 26 2020,0,,0
Jan 25 2020,0,,0
Jan 24 2020,0,,0
Jan 23 2020,0,,0
Jan 22 2020,0,,0
