Date,Value,7-day average,1/million
Dec 4 2020,2563,1951.0,8
Dec 3 2020,2706,1781.0,8
Dec 2 2020,2733,1585.0,8
Dec 1 2020,2473,1522.0,8
Nov 30 2020,1136,1464.0,3
Nov 29 2020,803,1438.0,2
Nov 28 2020,1245,1452.0,4
Nov 27 2020,1372,1490.0,4
Nov 26 2020,1336,1563.0,4
Nov 25 2020,2289,1653.0,7
Nov 24 2020,2066,1592.0,6
Nov 23 2020,955,1519.0,3
Nov 22 2020,898,1471.0,3
Nov 21 2020,1512,1441.0,5
Nov 20 2020,1884,1415.0,6
Nov 19 2020,1967,1327.0,6
Nov 18 2020,1864,1206.0,6
Nov 17 2020,1555,1163.0,5
Nov 16 2020,619,1135.0,2
Nov 15 2020,687,1129.0,2
Nov 14 2020,1331,1102.0,4
Nov 13 2020,1268,1072.0,4
Nov 12 2020,1119,1058.0,3
Nov 11 2020,1563,1062.0,5
Nov 10 2020,1360,998.0,4
Nov 9 2020,577,1020.0,2
Nov 8 2020,496,1008.0,2
Nov 7 2020,1119,994.0,3
Nov 6 2020,1173,971.0,4
Nov 5 2020,1146,939.0,3
Nov 4 2020,1117,923.0,3
Nov 3 2020,1514,913.0,5
Nov 2 2020,491,828.0,1
Nov 1 2020,395,815.0,1
Oct 31 2020,963,813.0,3
Oct 30 2020,947,803.0,3
Oct 29 2020,1037,801.0,3
Oct 28 2020,1044,814.0,3
Oct 27 2020,919,810.0,3
Oct 26 2020,402,799.0,1
Oct 25 2020,382,806.0,1
Oct 24 2020,890,809.0,3
Oct 23 2020,934,792.0,3
Oct 22 2020,1126,787.0,3
Oct 21 2020,1019,759.0,3
Oct 20 2020,837,729.0,3
Oct 19 2020,456,709.0,1
Oct 18 2020,402,684.0,1
Oct 17 2020,773,694.0,2
Oct 16 2020,897,680.0,3
Oct 15 2020,930,681.0,3
Oct 14 2020,807,688.0,2
Oct 13 2020,698,705.0,2
Oct 12 2020,282,693.0,1
Oct 11 2020,468,702.0,1
Oct 10 2020,681,687.0,2
Oct 9 2020,898,695.0,3
Oct 8 2020,985,688.0,3
Oct 7 2020,925,670.0,3
Oct 6 2020,610,690.0,2
Oct 5 2020,344,708.0,1
Oct 4 2020,365,694.0,1
Oct 3 2020,740,685.0,2
Oct 2 2020,847,704.0,3
Oct 1 2020,858,705.0,3
Sep 30 2020,1063,716.0,3
Sep 29 2020,737,729.0,2
Sep 28 2020,247,747.0,1
Sep 27 2020,306,752.0,1
Sep 26 2020,871,754.0,3
Sep 25 2020,850,737.0,3
Sep 24 2020,939,744.0,3
Sep 23 2020,1154,735.0,4
Sep 22 2020,864,739.0,3
Sep 21 2020,280,765.0,1
Sep 20 2020,323,783.0,1
Sep 19 2020,747,793.0,2
Sep 18 2020,900,803.0,3
Sep 17 2020,880,818.0,3
Sep 16 2020,1178,858.0,4
Sep 15 2020,1045,847.0,3
Sep 14 2020,408,748.0,1
Sep 13 2020,390,722.0,1
Sep 12 2020,818,731.0,2
Sep 11 2020,1008,745.0,3
Sep 10 2020,1161,744.0,4
Sep 9 2020,1102,731.0,3
Sep 8 2020,352,721.0,1
Sep 7 2020,226,816.0,1
Sep 6 2020,447,839.0,1
Sep 5 2020,921,842.0,3
Sep 4 2020,996,855.0,3
Sep 3 2020,1076,859.0,3
Sep 2 2020,1026,866.0,3
Sep 1 2020,1022,906.0,3
Aug 31 2020,382,923.0,1
Aug 30 2020,474,918.0,1
Aug 29 2020,1008,933.0,3
Aug 28 2020,1026,936.0,3
Aug 27 2020,1124,948.0,3
Aug 26 2020,1305,949.0,4
Aug 25 2020,1140,966.0,3
Aug 24 2020,352,974.0,1
Aug 23 2020,574,983.0,2
Aug 22 2020,1028,990.0,3
Aug 21 2020,1110,1017.0,3
Aug 20 2020,1134,1032.0,3
Aug 19 2020,1424,1037.0,4
Aug 18 2020,1195,1050.0,4
